"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.961975100E-1,-5.878906250E-1,3.234573364E0,9.032119751E0
1.986694340E-1,-5.693359375E-1,3.293228149E0,9.042297363E0
2.011718750E-1,-6.585083008E-1,3.282455444E0,9.020751953E0
2.036437990E-1,-6.956176758E-1,3.228576660E0,9.020751953E0
2.061157230E-1,-7.046051025E-1,3.260910034E0,8.968078613E0
2.086181640E-1,-7.261505127E-1,3.261505127E0,8.963882446E0
2.110900880E-1,-7.351226807E-1,3.242355347E0,8.907028198E0
2.135925300E-1,-8.177337646E-1,3.168731689E0,8.904632568E0
2.160644530E-1,-8.793792725E-1,3.186676025E0,8.883682251E0
2.185363770E-1,-8.602294922E-1,3.236358643E0,8.875900269E0
2.210388190E-1,-8.769836426E-1,3.242950439E0,8.822036743E0
2.235107420E-1,-9.105072021E-1,3.241744995E0,8.802871704E0
2.259826660E-1,-9.140930176E-1,3.251327515E0,8.819641113E0
2.284851080E-1,-9.494018555E-1,3.217803955E0,8.799880981E0
2.309570310E-1,-9.338531494E-1,3.183090210E0,8.807067871E0
2.334594730E-1,-1.008071899E0,3.193267822E0,8.821426392E0
2.359313970E-1,-1.058349609E0,3.199249268E0,8.779525757E0
2.384033210E-1,-1.049957275E0,3.158554077E0,8.805267334E0
2.409057620E-1,-1.060745239E0,3.156158447E0,8.857345581E0
2.433776860E-1,-1.105026245E0,3.117843628E0,8.825027466E0
2.458496100E-1,-1.130172729E0,3.148376465E0,8.810058594E0
2.483520510E-1,-1.156509399E0,3.133407593E0,8.795089722E0
2.508239750E-1,-1.087677002E0,3.107681274E0,8.787918091E0
2.533264160E-1,-1.093063354E0,3.134613037E0,8.757385254E0
2.557983400E-1,-1.118804932E0,3.187286377E0,8.671798706E0
2.582702640E-1,-1.082885742E0,3.176513672E0,8.616134644E0
2.607727050E-1,-1.058349609E0,3.186080933E0,8.635879517E0
2.632446290E-1,-1.049957275E0,3.183090210E0,8.607147217E0
2.657165530E-1,-1.085876465E0,3.200454712E0,8.524551392E0
2.682189940E-1,-1.078689575E0,3.183090210E0,8.520965576E0
2.706909180E-1,-1.107421875E0,3.153167725E0,8.550888062E0
2.731933600E-1,-1.106826782E0,3.166336060E0,8.535919189E0
