"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.209301949E-1,8.699871600E-3,9.047508240E-3,1.215798388E-1
4.974365000E-3,9.200716019E-2,1.456298679E-2,-2.923297882E-2,9.763178356E-2
9.948730000E-3,1.900181770E-1,1.252121851E-2,-2.212953568E-2,1.917117755E-1
1.492309600E-2,3.046226501E-1,1.033975743E-2,-1.998806000E-2,3.054527658E-1
1.989746100E-2,4.208755493E-1,5.566678569E-2,-1.503229141E-2,4.248070019E-1
2.484130900E-2,5.135407448E-1,7.237579674E-2,4.367828369E-3,5.186341971E-1
2.981567400E-2,5.574507713E-1,8.379850537E-2,1.371335983E-2,5.638808457E-1
3.479003900E-2,6.185846329E-1,9.394739568E-2,1.732397079E-2,6.259178709E-1
3.976440400E-2,6.452150345E-1,7.826213539E-2,5.203437805E-2,6.520237565E-1
4.470825200E-2,6.420884132E-1,8.601434529E-2,9.314250946E-2,6.544856951E-1
4.965210000E-2,5.850620270E-1,9.324556589E-2,1.061849594E-1,6.018866642E-1
5.462646500E-2,5.360536575E-1,1.076948345E-1,1.630992889E-1,5.705725889E-1
5.960083000E-2,4.672546387E-1,1.188855171E-1,1.846446991E-1,5.162889970E-1
6.457519500E-2,4.126925468E-1,7.971480489E-2,2.286973000E-1,4.785102333E-1
6.951904300E-2,3.447322845E-1,3.690746427E-2,2.709126472E-1,4.399956493E-1
7.449340800E-2,3.061680794E-1,3.544244170E-2,2.424654961E-1,3.921537661E-1
7.946777300E-2,3.006348610E-1,2.783143520E-2,2.670722008E-1,4.030923825E-1
8.441162100E-2,2.808976173E-1,-2.191734314E-2,2.683749199E-1,3.891130157E-1
8.938598600E-2,2.704830170E-1,-1.904177666E-2,3.040618896E-1,4.074030982E-1
9.436035200E-2,2.405281067E-1,-5.797234178E-2,3.152837753E-1,4.007722814E-1
9.933471700E-2,1.764907837E-1,-7.096877694E-2,3.585267067E-1,4.058656963E-1
1.042785640E-1,1.534748077E-1,-6.642359495E-2,4.273314476E-1,4.588886321E-1
1.092529300E-1,1.449890137E-1,-4.643288255E-2,5.168466568E-1,5.388026478E-1
1.142272950E-1,7.712411880E-2,-1.083304584E-1,6.344861984E-1,6.482718210E-1
1.192016600E-1,-3.053665161E-3,-1.312671900E-1,7.645888329E-1,7.757812084E-1
1.241455080E-1,-8.692693710E-2,-1.683541238E-1,9.019918442E-1,9.216771074E-1
1.291198730E-1,-1.357836723E-1,-1.829940975E-1,1.063276768E0,1.087419666E0
1.340942380E-1,-1.292500496E-1,-1.959356964E-1,1.209273338E0,1.231843488E0
1.390380860E-1,-9.942150116E-2,-2.258392274E-1,1.331604958E0,1.354274623E0
1.440124510E-1,-2.396821976E-2,-2.538955808E-1,1.446428299E0,1.468738324E0
1.489868160E-1,4.968976974E-2,-2.292943597E-1,1.541486263E0,1.559238557E0
1.539611820E-1,1.054577827E-1,-2.222030163E-1,1.571505547E0,1.590636730E0
1.589050290E-1,1.711235046E-1,-2.371787131E-1,1.624036789E0,1.650161352E0
1.638793950E-1,2.144026756E-1,-2.501928508E-1,1.620998383E0,1.654146525E0
1.688537600E-1,2.825260162E-1,-2.571735382E-1,1.631961823E0,1.676084296E0
1.738281250E-1,3.027606010E-1,-2.232726514E-1,1.556854725E0,1.601658919E0
1.787719730E-1,3.444952965E-1,-1.563827395E-1,1.478747368E0,1.526376870E0
1.837463380E-1,3.747692108E-1,-1.028609872E-1,1.383094311E0,1.436656611E0
1.887207030E-1,3.907670975E-1,-5.915492773E-2,1.278795242E0,1.338475066E0
1.936645510E-1,3.897247314E-1,-7.922202349E-2,1.164071560E0,1.230131738E0
1.986389160E-1,3.579273224E-1,-6.272476912E-2,1.045972824E0,1.107296489E0
2.036132810E-1,3.219199181E-1,-2.644127607E-2,9.446706772E-1,9.983657962E-1
2.085876460E-1,2.505321503E-1,-1.402395964E-2,7.957372665E-1,8.343625274E-1
2.135314940E-1,2.614021301E-1,1.108121872E-2,7.135629654E-1,7.600170871E-1
2.185058590E-1,2.705864906E-1,3.631466627E-2,6.051206589E-1,6.638575267E-1
2.234802250E-1,2.544145584E-1,1.546055079E-2,5.527954102E-1,6.087270009E-1
2.284545900E-1,2.283844948E-1,3.809607029E-2,5.206365585E-1,5.698010303E-1
2.333984380E-1,2.444186211E-1,8.081245422E-2,5.255126953E-1,5.851792102E-1
2.383728030E-1,2.284030914E-1,1.224055290E-1,5.615177155E-1,6.184280318E-1
