"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.929992680E-1,-7.123845816E-1,-6.003766060E-1,4.896450043E-2,9.329208881E-1
2.979736330E-1,-6.930384040E-1,-6.371517181E-1,5.001640320E-2,9.427439641E-1
3.029174810E-1,-6.804633141E-1,-6.230459213E-1,4.704475403E-3,9.226259664E-1
3.078918460E-1,-6.735999584E-1,-6.424269676E-1,-7.865428925E-2,9.341497792E-1
3.128662110E-1,-6.550058722E-1,-6.647806168E-1,-1.434631348E-1,9.442180003E-1
3.178405760E-1,-6.304975748E-1,-6.379218102E-1,-1.299781799E-1,9.062923121E-1
3.227844240E-1,-5.881293416E-1,-6.788544655E-1,-1.159830093E-1,9.056442824E-1
3.277587890E-1,-6.180137992E-1,-7.446622849E-1,-9.855079651E-2,9.727153921E-1
3.327331550E-1,-6.881141067E-1,-7.732315063E-1,-8.175468445E-2,1.038302371E0
3.377075200E-1,-7.035930157E-1,-7.669715881E-1,-6.908512115E-2,1.043101770E0
3.426513670E-1,-7.610875964E-1,-7.316942215E-1,-9.117126465E-2,1.059690031E0
3.476257330E-1,-8.340288401E-1,-7.284445763E-1,-1.317119598E-1,1.115160817E0
3.526000980E-1,-8.622233868E-1,-6.966328621E-1,-1.502590179E-1,1.118617131E0
3.575744630E-1,-8.741228580E-1,-7.009329796E-1,-1.554479599E-1,1.131177210E0
3.625183110E-1,-9.317768216E-1,-6.847805977E-1,-1.469202042E-1,1.165640622E0
3.674926760E-1,-9.568175077E-1,-6.780972481E-1,-1.583833694E-1,1.183385361E0
3.724670410E-1,-9.432630539E-1,-6.447682381E-1,-1.771812439E-1,1.156228551E0
3.774108890E-1,-9.785465002E-1,-6.711640358E-1,-1.478290558E-1,1.195770817E0
3.823852540E-1,-1.035926700E0,-6.663160324E-1,-1.227960587E-1,1.237820687E0
3.873596190E-1,-1.090237975E0,-6.537814140E-1,-1.197023392E-1,1.276862416E0
3.923339850E-1,-1.160150170E0,-6.507878304E-1,-1.454353333E-1,1.338142240E0
3.972778320E-1,-1.209781408E0,-6.305322647E-1,-1.607046127E-1,1.373669525E0
4.022521980E-1,-1.250532269E0,-5.960183144E-1,-2.006063461E-1,1.399754155E0
4.072265630E-1,-1.265738010E0,-5.764698982E-1,-1.914377213E-1,1.403943965E0
4.122009280E-1,-1.296798348E0,-6.089978218E-1,-1.692399979E-1,1.442638721E0
4.171447760E-1,-1.322367787E0,-6.397800446E-1,-1.115779877E-1,1.473236138E0
4.221191410E-1,-1.354117632E0,-6.523447037E-1,-9.570217133E-2,1.506103276E0
4.270935060E-1,-1.367174268E0,-6.428451538E-1,-1.299867630E-1,1.516348221E0
4.320678710E-1,-1.415262699E0,-6.418056488E-1,-1.150236130E-1,1.558240492E0
4.370117190E-1,-1.485651731E0,-6.946768761E-1,-1.461954117E-1,1.646544906E0
4.419860840E-1,-1.491788149E0,-6.692676544E-1,-1.887950897E-1,1.645902385E0
4.469604500E-1,-1.511389017E0,-6.209621429E-1,-2.202844620E-1,1.648761956E0
4.519348150E-1,-1.519101143E0,-6.198987961E-1,-2.929573059E-1,1.666663368E0
4.568786620E-1,-1.531556129E0,-6.333174706E-1,-3.379440308E-1,1.691437662E0
4.618530280E-1,-1.532541394E0,-6.237120628E-1,-3.519954681E-1,1.691626635E0
4.668273930E-1,-1.482307076E0,-6.060199738E-1,-3.924274445E-1,1.648785546E0
4.717712410E-1,-1.435878277E0,-5.921263695E-1,-4.323806763E-1,1.612238541E0
4.767456060E-1,-1.357886076E0,-5.799880028E-1,-5.110263824E-1,1.562494366E0
4.817199710E-1,-1.311697364E0,-5.421471596E-1,-5.077114105E-1,1.507396561E0
4.866943360E-1,-1.281568766E0,-5.478363037E-1,-5.286216736E-1,1.490632078E0
4.916381840E-1,-1.247754216E0,-5.236215591E-1,-4.947614670E-1,1.440784172E0
4.966125490E-1,-1.178711534E0,-4.873900414E-1,-4.843511581E-1,1.364370176E0
5.015869140E-1,-1.174253106E0,-4.990863800E-1,-4.918346405E-1,1.367427836E0
5.065612800E-1,-1.090800762E0,-5.125808716E-1,-4.879817963E-1,1.300273697E0
5.115356450E-1,-1.012841940E0,-5.171346664E-1,-4.147396088E-1,1.210489984E0
5.164794920E-1,-9.395856857E-1,-5.964655876E-1,-3.140544891E-1,1.156383449E0
5.214538580E-1,-8.909261227E-1,-6.383585930E-1,-2.685928345E-1,1.128447234E0
5.264282230E-1,-8.399616480E-1,-7.667751312E-1,2.492570877E-1,1.164306131E0
5.313720710E-1,-5.321950912E-1,-7.951588631E-1,1.316314697E0,1.627327138E0
