"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.948999405E-3,2.433419228E-3,7.011890411E-2,7.022306488E-2
4.974365000E-3,1.600241661E-2,1.191985607E-2,2.207565308E-2,2.975726407E-2
9.948731000E-3,4.470396042E-2,1.785790920E-2,-8.683204651E-3,4.891571364E-2
1.492309600E-2,1.074507236E-1,1.668608189E-2,-3.623676300E-2,1.146175656E-1
1.989746100E-2,1.499323845E-1,-1.812815666E-3,-1.000986099E-1,1.802851573E-1
2.484130900E-2,1.328182220E-1,-2.897083759E-2,-1.345176697E-1,1.912458967E-1
2.978515600E-2,1.070673466E-1,-4.874587059E-2,-1.491403580E-1,1.899537390E-1
3.475952200E-2,5.386185646E-2,-6.958246231E-2,-1.872797012E-1,2.069214951E-1
3.973388700E-2,2.177047729E-2,-7.218587399E-2,-1.584615707E-1,1.754845392E-1
4.467773500E-2,-3.497624397E-2,-8.612155914E-2,-1.564435959E-1,1.819748864E-1
4.965210000E-2,-7.749199867E-2,-7.801735401E-2,-1.848678589E-1,2.150996110E-1
5.462646500E-2,-1.249883175E-1,-7.303977013E-2,-1.746654510E-1,2.268587828E-1
5.960083000E-2,-1.658763885E-1,-6.939947605E-2,-1.137781143E-1,2.127832767E-1
6.457519500E-2,-1.968379021E-1,-5.794668198E-2,-7.458114624E-2,2.183238993E-1
6.951904300E-2,-1.570270061E-1,-3.632736206E-2,-5.117416382E-2,1.691033794E-1
7.449340800E-2,-3.313088417E-2,-3.249645233E-4,-2.441024780E-2,4.115363029E-2
7.946777400E-2,2.152886391E-1,1.155101061E-1,-1.008825302E-1,2.643275764E-1
8.441162100E-2,2.996046543E-1,2.003982067E-1,-2.491893768E-1,4.381982835E-1
8.938598600E-2,1.334173679E-1,3.208160400E-2,-7.504463196E-2,1.564005120E-1
9.436035200E-2,1.576514244E-1,1.911485195E-2,5.874252319E-2,1.693222762E-1
9.933471700E-2,1.887576580E-1,1.903939247E-2,4.923248291E-2,1.959994625E-1
1.043090820E-1,1.914169788E-1,1.754450798E-2,3.453445435E-2,1.952969485E-1
