"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.085876460E-1,3.378295898E-2,2.262878418E-2,-4.725646973E-2
2.110595700E-1,3.378295898E-2,1.518249512E-2,-4.405212402E-2
2.135314940E-1,3.590393066E-2,9.857177734E-3,-4.298400879E-2
2.160339350E-1,3.697204590E-2,5.584716797E-3,-4.086303711E-2
2.185058590E-1,3.804016113E-2,2.395629883E-3,-3.979492188E-2
2.210083010E-1,3.910827637E-2,-5.065917969E-3,-4.086303711E-2
2.234802240E-1,3.485107422E-2,-1.358032227E-2,-3.765869141E-2
2.259521480E-1,3.057861328E-2,-1.890563965E-2,-3.446960449E-2
2.284545900E-1,3.057861328E-2,-2.104187012E-2,-3.660583496E-2
2.309265140E-1,2.738952637E-2,-2.104187012E-2,-3.553771973E-2
2.333984370E-1,2.206420898E-2,-2.636718750E-2,-3.233337402E-2
2.359008790E-1,1.780700684E-2,-2.636718750E-2,-3.128051758E-2
2.383728030E-1,1.141357422E-2,-2.317810059E-2,-3.128051758E-2
2.408752440E-1,7.629394531E-4,-2.423095703E-2,-3.233337402E-2
2.433471680E-1,-6.698608398E-3,-2.210998535E-2,-2.807617188E-2
2.458496090E-1,-9.902954102E-3,-1.678466797E-2,-2.914428711E-2
2.483215330E-1,-1.734924316E-2,-1.145935059E-2,-3.233337402E-2
2.507934570E-1,-2.799987793E-2,-1.039123535E-2,-2.700805664E-2
2.532653810E-1,-3.546142578E-2,-6.134033203E-3,-2.700805664E-2
2.557678220E-1,-3.971862793E-2,2.593994141E-4,-2.914428711E-2
2.582397460E-1,-5.036926270E-2,8.789062500E-3,-2.488708496E-2
2.607421870E-1,-5.676269531E-2,1.625061035E-2,-2.488708496E-2
2.632141110E-1,-5.996704102E-2,2.157592773E-2,-2.381896973E-2
2.656860350E-1,-6.208801270E-2,2.902221680E-2,-2.381896973E-2
2.681884760E-1,-6.422424316E-2,3.755187988E-2,-2.700805664E-2
2.706604000E-1,-6.741333008E-2,4.606628418E-2,-2.807617188E-2
2.731323240E-1,-7.168579102E-2,5.033874512E-2,-2.700805664E-2
