"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.036437990E-1,-3.028411865E-1,-2.980041504E-1,-2.113037109E-1
2.061157230E-1,-3.070983887E-1,-2.724456787E-1,-1.921234131E-1
2.086181640E-1,-3.134918213E-1,-2.554016113E-1,-1.825408936E-1
2.110900880E-1,-3.145599365E-1,-2.404785156E-1,-1.729583740E-1
2.135620120E-1,-3.113708496E-1,-2.277069092E-1,-1.708221436E-1
2.160644530E-1,-3.081665039E-1,-2.095947266E-1,-1.708221436E-1
2.185363770E-1,-3.049774170E-1,-1.946716309E-1,-1.697540283E-1
2.210388190E-1,-2.975158691E-1,-1.882934570E-1,-1.676330566E-1
2.235107420E-1,-2.943267822E-1,-1.840209961E-1,-1.676330566E-1
2.259826660E-1,-2.900543213E-1,-1.712493896E-1,-1.623077393E-1
2.284851080E-1,-2.836608887E-1,-1.627197266E-1,-1.527099609E-1
2.309570320E-1,-2.762145996E-1,-1.488800049E-1,-1.452636719E-1
2.334289550E-1,-2.666168213E-1,-1.382141113E-1,-1.303405762E-1
2.359313970E-1,-2.559661865E-1,-1.233062744E-1,-1.207580566E-1
2.384033210E-1,-2.517089844E-1,-1.041259766E-1,-1.101074219E-1
2.409057620E-1,-2.399902344E-1,-7.431030273E-2,-1.015777588E-1
2.433776860E-1,-2.314758301E-1,-4.447937012E-2,-8.879089355E-2
2.458496100E-1,-2.261505127E-1,-9.323120117E-3,-7.920837402E-2
2.483520510E-1,-2.218780518E-1,2.690124512E-2,-7.281494141E-2
2.508239750E-1,-2.154846191E-1,6.311035156E-2,-6.962585449E-2
2.532958990E-1,-2.016448975E-1,9.507751465E-2,-6.002807617E-2
2.557983400E-1,-1.952514648E-1,1.248931885E-1,-5.258178711E-2
2.582702640E-1,-1.824645996E-1,1.600494385E-1,-4.618835449E-2
2.607727050E-1,-1.739501953E-1,1.973419189E-1,-4.193115234E-2
2.632446290E-1,-1.622314453E-1,2.239685059E-1,-3.660583496E-2
2.657165530E-1,-1.483764648E-1,2.431488037E-1,-2.914428711E-2
2.682189940E-1,-1.302642822E-1,2.623138428E-1,-3.021240234E-2
2.706909180E-1,-1.185455322E-1,2.772369385E-1,-2.700805664E-2
2.731628420E-1,-1.068420410E-1,2.910766602E-1,-2.488708496E-2
2.756652840E-1,-9.617614746E-2,3.027954102E-1,-1.956176758E-2
2.781372070E-1,-8.020019531E-2,3.081207275E-1,-1.210021973E-2
2.806396490E-1,-6.422424316E-2,3.123931885E-1,-7.843017578E-3
2.831115730E-1,-5.143737793E-2,3.166503906E-1,-3.570556641E-3
2.855834960E-1,-3.759765625E-2,3.145141602E-1,2.822875977E-3
2.880859380E-1,-1.734924316E-2,3.059997559E-1,9.201049805E-3
2.905578620E-1,-3.051757812E-4,2.985382080E-1,1.347351074E-2
2.930297850E-1,1.460266113E-2,2.857513428E-1,1.559448242E-2
2.955322270E-1,3.485107422E-2,2.665863037E-1,1.879882812E-2
2.980041510E-1,5.508422852E-2,2.410125732E-1,2.305603027E-2
3.005065920E-1,7.638549805E-2,2.090606689E-1,3.051757812E-2
3.029785160E-1,9.556579590E-2,1.739044189E-1,4.223632812E-2
3.054504400E-1,1.136779785E-1,1.312866211E-1,4.861450195E-2
3.079528810E-1,1.328430176E-1,8.122253418E-2,5.714416504E-2
3.104248050E-1,1.552276611E-1,3.009033203E-2,6.993103027E-2
3.128967290E-1,1.712036133E-1,-1.997375488E-2,8.483886719E-2
3.153991700E-1,1.871795654E-1,-7.217407227E-2,9.762573242E-2
3.178710940E-1,2.084808350E-1,-1.264953613E-1,1.125335693E-1
3.203735350E-1,2.287292480E-1,-1.850891113E-1,1.253204346E-1
3.228454590E-1,2.478942871E-1,-2.383575439E-1,1.391754150E-1
3.253173830E-1,2.628173828E-1,-2.926788330E-1,1.508941650E-1
3.278198250E-1,2.798614502E-1,-3.448791504E-1,1.615447998E-1
3.302917480E-1,2.873077393E-1,-3.970794678E-1,1.721954346E-1
3.327636720E-1,2.937011719E-1,-4.482116699E-1,1.817779541E-1
3.352661140E-1,2.979736328E-1,-4.918823242E-1,1.924285889E-1
3.377380370E-1,2.969055176E-1,-5.312957764E-1,2.041473389E-1
3.402404790E-1,2.915802002E-1,-5.717773438E-1,2.158660889E-1
3.427124030E-1,2.777252197E-1,-6.058654785E-1,2.201232910E-1
3.451843260E-1,2.670745850E-1,-6.356964111E-1,2.297210693E-1
3.476867680E-1,2.489624023E-1,-6.612701416E-1,2.318420410E-1
3.501586920E-1,2.276611328E-1,-6.857604980E-1,2.286529541E-1
3.526306160E-1,2.052917480E-1,-7.006835938E-1,2.211914062E-1
3.551330570E-1,1.807861328E-1,-7.166595459E-1,2.180023193E-1
3.576049810E-1,1.573486328E-1,-7.283782959E-1,2.105407715E-1
3.601074220E-1,1.307220459E-1,-7.400970459E-1,2.030792236E-1
3.625793460E-1,9.982299805E-2,-7.432861328E-1,1.881713867E-1
3.650512700E-1,7.426452637E-2,-7.411651611E-1,1.721954346E-1
3.675537110E-1,4.017639160E-2,-7.411651611E-1,1.572723389E-1
3.700256350E-1,1.141357422E-2,-7.326354980E-1,1.381072998E-1
3.724975590E-1,-1.841735840E-2,-7.262420654E-1,1.231842041E-1
3.750000000E-1,-4.824829102E-2,-7.134704590E-1,1.136016846E-1
3.774719240E-1,-6.848144531E-2,-6.921539307E-1,1.018829346E-1
3.799743660E-1,-9.191894531E-2,-6.751098633E-1,8.909606934E-2
3.824462890E-1,-1.068420410E-1,-6.580657959E-1,7.951354980E-2
3.849182130E-1,-1.164245605E-1,-6.399536133E-1,7.312011719E-2
3.874206550E-1,-1.260070801E-1,-6.239776611E-1,6.460571289E-2
3.898925780E-1,-1.313323975E-1,-6.048126221E-1,5.714416504E-2
3.923645020E-1,-1.366577148E-1,-5.867004395E-1,5.075073242E-2
3.948669440E-1,-1.334686279E-1,-5.749816895E-1,4.435729980E-2
3.973388670E-1,-1.355895996E-1,-5.579376221E-1,3.691101074E-2
3.998413090E-1,-1.324005127E-1,-5.462188721E-1,3.584289551E-2
4.023132330E-1,-1.292114258E-1,-5.334320068E-1,3.584289551E-2
4.047851570E-1,-1.249389648E-1,-5.238494873E-1,3.796386719E-2
4.072875980E-1,-1.270751953E-1,-5.153198242E-1,4.010009766E-2
4.097595220E-1,-1.249389648E-1,-5.057373047E-1,4.223632812E-2
4.122314460E-1,-1.302642822E-1,-4.961547852E-1,4.649353027E-2
4.147338870E-1,-1.398620605E-1,-4.822998047E-1,5.181884766E-2
4.172058110E-1,-1.505126953E-1,-4.663238525E-1,5.821228027E-2
4.197082520E-1,-1.579742432E-1,-4.460754395E-1,6.246948242E-2
4.221801760E-1,-1.675567627E-1,-4.237060547E-1,6.565856934E-2
4.246521000E-1,-1.760711670E-1,-3.970794678E-1,7.525634766E-2
4.271545410E-1,-1.867218018E-1,-3.736419678E-1,8.483886719E-2
4.296264650E-1,-2.005767822E-1,-3.512725830E-1,9.336853027E-2
4.320983890E-1,-2.059020996E-1,-3.257141113E-1,1.061401367E-1
