"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.880249020E-1,-8.891713619E-2,1.447868347E-2,-2.108335495E-1,2.292742353E-1
2.929992670E-1,-1.389868259E-1,3.678679466E-2,-1.397037506E-1,2.004688105E-1
2.979736320E-1,-1.480363607E-1,4.419088364E-2,4.740428925E-2,1.616006341E-1
3.029479980E-1,-1.731176376E-1,1.553392410E-2,1.278934479E-1,2.157956285E-1
3.079223630E-1,-1.410372257E-1,6.948018074E-2,1.484260559E-1,2.162158381E-1
3.128662110E-1,-7.463109493E-2,6.219458580E-2,1.795310974E-1,2.041307957E-1
3.178405760E-1,-3.128969669E-2,5.887603760E-2,1.980724335E-1,2.089931143E-1
3.228149410E-1,-1.352214813E-2,4.711985588E-2,1.387920380E-1,1.471949697E-1
3.277587890E-1,-1.168251038E-5,5.674958229E-2,1.543426514E-1,1.644450342E-1
3.327331540E-1,3.315341473E-2,9.403347969E-2,1.256704330E-1,1.604197680E-1
3.377075190E-1,5.363321304E-2,7.293796539E-2,8.230400085E-2,1.223536550E-1
3.426818840E-1,1.464498043E-2,9.056520462E-2,2.489089966E-3,9.177541778E-2
3.476257320E-1,-1.049876213E-2,6.569147110E-2,-4.255390167E-2,7.897105754E-2
3.526000970E-1,-3.320121765E-2,1.070346832E-1,-1.035890579E-1,1.526087717E-1
3.575744630E-1,-8.739542961E-2,1.136732101E-2,-1.829538345E-1,2.030745742E-1
3.625488280E-1,-1.281425953E-1,-5.998873711E-2,-2.443780899E-1,2.823824076E-1
3.674926750E-1,-1.294648647E-1,3.023624420E-2,-2.184314728E-1,2.557101679E-1
3.724670410E-1,-1.620548964E-1,1.259324551E-1,-2.387104034E-1,3.148069716E-1
3.774414060E-1,-1.884639263E-1,1.525757313E-1,-3.318710327E-1,4.110187193E-1
3.824157710E-1,-1.818779707E-1,1.186501980E-1,-3.445501328E-1,4.072741824E-1
3.873901360E-1,-1.123870611E-1,8.243966103E-2,-2.913751602E-1,3.229963362E-1
3.923339840E-1,-1.008092165E-1,4.664254189E-2,-1.848545074E-1,2.156599494E-1
3.973083490E-1,-9.923326969E-2,2.589678764E-2,-6.044769287E-2,1.190454073E-1
4.022827140E-1,-1.219475269E-1,2.979087830E-2,3.765106201E-3,1.255900943E-1
4.072570800E-1,-1.652513742E-1,3.779268265E-2,5.952358246E-2,1.796645775E-1
4.122009270E-1,-2.348815203E-1,6.433606148E-2,1.675119400E-1,2.955819809E-1
4.171752930E-1,-2.986383438E-1,5.072784424E-2,1.721811295E-1,3.484315082E-1
4.221496580E-1,-3.327964544E-1,5.383062363E-2,1.563081741E-1,3.715958307E-1
4.271240230E-1,-3.026841879E-1,1.936173439E-2,1.870965958E-1,3.563674094E-1
4.320678710E-1,-2.446563244E-1,-2.556443214E-2,2.036294937E-1,3.193356040E-1
4.370422360E-1,-2.305641174E-1,1.823065281E-1,6.328868866E-2,3.006674917E-1
4.420166010E-1,-8.834886551E-2,1.433751583E-1,-1.561193466E-1,2.296414781E-1
4.469604490E-1,-4.028081894E-3,2.820897102E-2,-2.365808487E-1,2.382907247E-1
4.519348140E-1,-8.696675301E-3,-1.935553551E-2,-3.052358627E-1,3.059725491E-1
4.569091790E-1,-8.549058437E-2,-2.079629898E-2,-3.610353470E-1,3.716014637E-1
4.618835450E-1,-2.000361681E-1,2.139091492E-2,-3.690643311E-1,4.203338200E-1
4.668273920E-1,-2.642748356E-1,-4.206061363E-2,-3.446702957E-1,4.363575331E-1
4.718017570E-1,-2.665388584E-1,-8.795332909E-2,-3.651781082E-1,4.605798539E-1
4.767761230E-1,-2.855969667E-1,-4.957413673E-2,-3.565979004E-1,4.595490017E-1
4.817504880E-1,-4.942595959E-1,-1.044859886E-1,-2.563219070E-1,5.664898851E-1
4.866943360E-1,-5.796402693E-1,-1.190805435E-1,-3.500642776E-1,6.875376470E-1
4.916687010E-1,-5.650796890E-1,-1.650524139E-1,-4.386405945E-1,7.341409438E-1
